Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,1u,
"C10, C4, C5, C6, C8, C9",0603,6,100n,
"C3, C7",0603,2,10p,
J1,USB-C-SMD_MC-311D,1,USB_C_Receptacle,
J2,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03_Socket,
J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04_Socket,
"R1, R2",0603,2,5k1,
"R3, R4",0603,2,10k,
SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,1,SW_Push,
U1,SOT-23-5,1,LP5907MFX-3.3,
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,16MHz,
