Designator,Mid X,Mid Y,Rotation,Layer
C1,64.74204,-66.377673,270.0,top
C10,79.6125,-67.0,180.0,top
C2,65.62954,-68.988751,0.0,top
C3,86.332094,-65.037191,180.0,top
C4,86.1375,-56.5,0.0,top
C5,82.886488,-65.489782,0.0,top
C6,87.5,-54.0,180.0,top
C7,86.194594,-58.037191,0.0,top
C8,75.6375,-55.0,0.0,top
C9,71.991485,-64.248094,90.0,top
J1,64.452261,-57.255919,180.0,top
J2,106.108806,-61.67796,90.0,top
J3,99.2,-68.125,0.0,top
R1,66.747263,-62.49256,0.0,top
R2,63.084763,-62.49256,0.0,top
R3,75.5,-67.0,180.0,top
R4,97.5,-56.4125,270.0,top
SW1,93.0,-55.85,0.0,top
U1,62.19204,-66.852673,90.0,top
U2,78.0,-61.0,90.0,top
Y1,86.332094,-61.537191,90.0,top
